round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,2.088829740005381,6.185055139329698,0.175,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.357290863990784
2,1.3287842904820162,2.776635932922363,0.275,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,52.60326315648854
3,1.1918969005346298,2.075402535332574,0.35,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,52.532599756494164
4,1.0829175526604933,1.8440293259090847,0.4027777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.81956483237445
5,1.001972232671345,1.7186579704284668,0.43333333333333335,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.77473055012524
6,1.0327483538319084,1.6217717541588677,0.44722222222222224,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.956479120999575
7,0.8522644021055278,1.5837736129760742,0.46944444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.991348430514336
8,0.8071200470714008,1.643378406100803,0.4777777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.52594235353172
9,0.7266539102968048,1.6328508615493775,0.48333333333333334,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.82890977151692
10,0.6449458077549934,1.6017526944478353,0.49722222222222223,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.68979808688164
11,0.6275879609234193,1.6746284193462795,0.49444444444444446,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.19562909938395
12,0.5983738853212666,1.6079784048928154,0.5027777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.572086552158
13,0.5202534610734266,1.579101488325331,0.5277777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.28624744154513
14,0.483848867170951,1.5879211955600314,0.525,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,52.808215172961354
15,0.4787818055380793,1.536032411787245,0.525,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,51.81874096393585
16,0.4068070987568182,1.5279172261555989,0.5333333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.1070299372077
17,0.34575672129936075,1.561165862613254,0.5444444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.475859900936484
18,0.2949029790127979,1.6343673467636108,0.5444444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.3824547752738
19,0.2969957479440114,1.6189209196302625,0.55,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.663249012082815
20,0.2831178042380249,1.56642853418986,0.5611111111111111,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.26246624439955
21,0.28233547399149217,1.5321736441718208,0.5444444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.30048797093332
22,0.3122748685452868,1.6661545117696126,0.5638888888888889,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.60871656052768
23,0.3282720629564103,1.6715206490622627,0.5555555555555556,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.15884892269969
24,0.2423412790248061,1.6838896989822387,0.5527777777777778,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.78483555465937
25,0.1864601547336754,1.6496077749464246,0.5666666666666667,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,53.81857928074896
26,0.16070260962142663,1.6581701623068916,0.5583333333333333,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,52.74953749589622
27,0.1631923452129259,1.6563792493608263,0.575,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.03799439035356
28,0.15697247858214028,1.7367449230617946,0.5694444444444444,cqfl_uplink_v3_deterministic_phase_tensor_fp32_scale,3178468,3174884,11696,3163188,0,3584,50625672,14324088,54.14813973940909
