round,train_loss,test_loss,test_accuracy,uplink_protocol,uplink_bytes,uplink_trainable_bytes,uplink_complex_2bit_bytes,uplink_real_2bit_bytes,uplink_bitfl_1bit_bytes,uplink_non_trainable_bytes,downlink_bytes,optimizer_state_bytes,round_seconds
1,1.25933259782337,1.3537714189953274,0.36933333333333335,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,13.130197772756219
2,1.1792877632095702,1.3026481251716613,0.3551111111111111,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.792107696644962
3,1.1421569237822577,1.2676688362227546,0.37955555555555553,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.586267720907927
4,1.1127489147299812,1.2368243707021078,0.38711111111111113,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.739057049155235
5,1.0996235164574215,1.215589634736379,0.39244444444444443,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.713086036965251
6,1.1002217900185358,1.1977875556415982,0.3953333333333333,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.746428227052093
7,1.0878517173869269,1.185357044537862,0.39711111111111114,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.849624461494386
8,1.0592090121053515,1.1726827072037591,0.39866666666666667,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.783156440593302
9,1.0547667324259167,1.1609678574668036,0.4002222222222222,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.718946246430278
10,1.054901629061926,1.147370364718967,0.4028888888888889,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.741359611973166
11,1.043369607386135,1.1361352648205227,0.404,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.706617274321616
12,1.038866141637166,1.123171201017168,0.408,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.641377157531679
13,1.038626609955515,1.1099751699765523,0.4177777777777778,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,12.029803547076881
14,1.0329890462614242,1.0983438351949055,0.43177777777777776,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.925230097025633
15,1.039999280969302,1.0864873514175415,0.43022222222222223,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,10.836284373886883
16,1.0263220437367757,1.0759635036786397,0.4471111111111111,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,10.988079865463078
17,1.0251877601089932,1.061468990749783,0.47244444444444444,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.028304073028266
18,1.0356835132837297,1.0487692467901442,0.4757777777777778,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.34608671348542
19,1.030849720551854,1.0392660179668003,0.4822222222222222,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.061981058679521
20,1.0183467005548024,1.032619238641527,0.48533333333333334,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.083050436340272
21,1.009663656098502,1.0252335686683656,0.4891111111111111,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.644212387502193
22,1.0106815856127513,1.0205542476442124,0.492,bitfl_v2_stochastic_1bit_tensor_fp32_scale_configurable_hldp_topk_ef,85985,84065,0,0,84065,1920,2681680,5359560,11.58494384586811
