[mnist/fedavg_fp32] round 001/50: loss=2.2738, acc=0.1917, time=33.5s
[mnist/fedavg_fp32] round 002/50: loss=2.2447, acc=0.2284, time=33.6s
[mnist/fedavg_fp32] round 003/50: loss=2.1991, acc=0.2351, time=33.7s
[mnist/fedavg_fp32] round 004/50: loss=2.1185, acc=0.2660, time=32.5s
[mnist/fedavg_fp32] round 005/50: loss=1.9786, acc=0.3065, time=32.8s
[mnist/fedavg_fp32] round 006/50: loss=1.7747, acc=0.4033, time=33.4s
[mnist/fedavg_fp32] round 007/50: loss=1.5202, acc=0.5038, time=33.2s
[mnist/fedavg_fp32] round 008/50: loss=1.2185, acc=0.6599, time=32.7s
[mnist/fedavg_fp32] round 009/50: loss=0.9879, acc=0.7356, time=33.8s
[mnist/fedavg_fp32] round 010/50: loss=0.7497, acc=0.8052, time=33.8s
[mnist/fedavg_fp32] round 011/50: loss=0.6442, acc=0.8276, time=32.5s
[mnist/fedavg_fp32] round 012/50: loss=0.5070, acc=0.8593, time=33.4s
[mnist/fedavg_fp32] round 013/50: loss=0.4664, acc=0.8686, time=33.6s
[mnist/fedavg_fp32] round 014/50: loss=0.3958, acc=0.8875, time=33.2s
[mnist/fedavg_fp32] round 015/50: loss=0.3838, acc=0.8911, time=32.9s
[mnist/fedavg_fp32] round 016/50: loss=0.3417, acc=0.9009, time=33.4s
[mnist/fedavg_fp32] round 017/50: loss=0.3270, acc=0.9075, time=33.1s
[mnist/fedavg_fp32] round 018/50: loss=0.2983, acc=0.9127, time=33.4s
[mnist/fedavg_fp32] round 019/50: loss=0.2995, acc=0.9131, time=33.4s
[mnist/fedavg_fp32] round 020/50: loss=0.2738, acc=0.9213, time=32.6s
[mnist/fedavg_fp32] round 021/50: loss=0.2791, acc=0.9187, time=33.1s
[mnist/fedavg_fp32] round 022/50: loss=0.2511, acc=0.9270, time=33.4s
[mnist/fedavg_fp32] round 023/50: loss=0.2896, acc=0.9135, time=32.5s
[mnist/fedavg_fp32] round 024/50: loss=0.2443, acc=0.9284, time=32.6s
[mnist/fedavg_fp32] round 025/50: loss=0.2988, acc=0.9084, time=34.0s
[mnist/fedavg_fp32] round 026/50: loss=0.2382, acc=0.9272, time=33.5s
[mnist/fedavg_fp32] round 027/50: loss=0.2971, acc=0.9073, time=32.2s
[mnist/fedavg_fp32] round 028/50: loss=0.2698, acc=0.9120, time=33.6s
[mnist/fedavg_fp32] round 029/50: loss=0.3634, acc=0.8801, time=33.7s
[mnist/fedavg_fp32] round 030/50: loss=0.2927, acc=0.8996, time=32.7s
[mnist/fedavg_fp32] round 031/50: loss=0.3385, acc=0.8864, time=33.3s
[mnist/fedavg_fp32] round 032/50: loss=0.2611, acc=0.9112, time=34.0s
[mnist/fedavg_fp32] round 033/50: loss=0.3052, acc=0.8972, time=33.1s
[mnist/fedavg_fp32] round 034/50: loss=0.2199, acc=0.9280, time=32.6s
[mnist/fedavg_fp32] round 035/50: loss=0.2913, acc=0.9025, time=33.9s
[mnist/fedavg_fp32] round 036/50: loss=0.1928, acc=0.9406, time=33.6s
[mnist/fedavg_fp32] round 037/50: loss=0.2315, acc=0.9252, time=32.2s
[mnist/fedavg_fp32] round 038/50: loss=0.1683, acc=0.9507, time=33.4s
[mnist/fedavg_fp32] round 039/50: loss=0.2064, acc=0.9354, time=33.8s
[mnist/fedavg_fp32] round 040/50: loss=0.1512, acc=0.9574, time=32.7s
[mnist/fedavg_fp32] round 041/50: loss=0.1932, acc=0.9409, time=33.0s
[mnist/fedavg_fp32] round 042/50: loss=0.1442, acc=0.9578, time=33.8s
[mnist/fedavg_fp32] round 043/50: loss=0.1715, acc=0.9473, time=33.0s
[mnist/fedavg_fp32] round 044/50: loss=0.1415, acc=0.9590, time=32.8s
[mnist/fedavg_fp32] round 045/50: loss=0.1582, acc=0.9514, time=33.3s
[mnist/fedavg_fp32] round 046/50: loss=0.1373, acc=0.9606, time=33.3s
[mnist/fedavg_fp32] round 047/50: loss=0.1610, acc=0.9516, time=33.5s
[mnist/fedavg_fp32] round 048/50: loss=0.1327, acc=0.9619, time=33.8s
[mnist/fedavg_fp32] round 049/50: loss=0.1497, acc=0.9548, time=33.4s
[mnist/fedavg_fp32] round 050/50: loss=0.1299, acc=0.9626, time=33.0s
completed: results/experiment1_five_v1_final/mnist/fedavg_fp32/seed_123_20260812_234218
